"","Tag","Experiment","Fraction","Lot","Peptide_microgram","UPLC_fractions","Set","Iteration"
"126_rep1","126","TcPCF_011019","1 and 2 pooled","UD280817",28,19,"11-plex",1
"127N_rep1","127N","TcPCF_011019","3 and 4 pooled","UD280817",28,19,"11-plex",1
"127C_rep1","127C","TcPCF_011019","5 and 6 pooled","UD280817",28,19,"11-plex",1
"128N_rep1","128N","TcPCF_011019","7","UD280817",28,19,"11-plex",1
"128C_rep1","128C","TcPCF_011019","8 to 11 pooled","UD280817",28,19,"11-plex",1
"129N_rep1","129N","TcPCF_011019","12 to 14 pooled","UD280817",28,19,"11-plex",1
"129C_rep1","129C","TcPCF_011019","15 and 16 pooled","UD280817",28,19,"11-plex",1
"130N_rep1","130N","TcPCF_011019","17","UD280817",28,19,"11-plex",1
"130C_rep1","130C","TcPCF_011019","18","UD280817",28,19,"11-plex",1
"131N_rep1","131N","TcPCF_011019","19 and 20 pooled","UD280817",28,19,"11-plex",1
"131C_rep1","131C","TcPCF_011019","soluble","UD280817",29,19,"11-plex",1
"126_rep2","126","TcPCF_251119","1 and 2 pooled","UD280817",22.5,19,"11-plex",2
"127N_rep2","127N","TcPCF_251119","3 and 4 pooled","UD280817",22.5,19,"11-plex",2
"127C_rep2","127C","TcPCF_251119","5 to 7 pooled","UD280817",22.5,19,"11-plex",2
"128N_rep2","128N","TcPCF_251119","8 to 10 pooled","UD280817",22.5,19,"11-plex",2
"128C_rep2","128C","TcPCF_251119","11 and 12 pooled","UD280817",22.5,19,"11-plex",2
"129N_rep2","129N","TcPCF_251119","13 and 14 pooled","UD280817",22.5,19,"11-plex",2
"129C_rep2","129C","TcPCF_251119","15 and 16 pooled","UD280817",22.5,19,"11-plex",2
"130N_rep2","130N","TcPCF_251119","17 and 18 pooled","UD280817",22.5,19,"11-plex",2
"130C_rep2","130C","TcPCF_251119","19","UD280817",22.5,19,"11-plex",2
"131N_rep2","131N","TcPCF_251119","20 to 23 pooled","UD280817",22.5,19,"11-plex",2
"131C_rep2","131C","TcPCF_251119","soluble","UD280817",22.5,19,"11-plex",2
"126_rep3","126","TcPCF_181219","1 and 2 pooled","UD280817",52,19,"11-plex",3
"127N_rep3","127N","TcPCF_181219","3 and 4 pooled","UD280817",52,19,"11-plex",3
"127C_rep3","127C","TcPCF_181219","5","UD280817",52,19,"11-plex",3
"128N_rep3","128N","TcPCF_181219","6 and 7 pooled","UD280817",52,19,"11-plex",3
"128C_rep3","128C","TcPCF_181219","8 to 10 pooled","UD280817",52,19,"11-plex",3
"129N_rep3","129N","TcPCF_181219","11 and 12 pooled","UD280817",52,19,"11-plex",3
"129C_rep3","129C","TcPCF_181219","13 and 14 pooled","UD280817",52,19,"11-plex",3
"130N_rep3","130N","TcPCF_181219","15 and 16 pooled","UD280817",52,19,"11-plex",3
"130C_rep3","130C","TcPCF_181219","17 to 19 pooled","UD280817",52,19,"11-plex",3
"131N_rep3","131N","TcPCF_181219","20 to 22 pooled","UD280817",52,19,"11-plex",3
"131C_rep3","131C","TcPCF_181219","soluble","UD280817",52,19,"11-plex",3
